"country","year","happy","trust","authority","petition","god","homosex","abortion","proud","postmat","autonomy"
"CHN",2005,1.96998402331738,1.4610810871778,1.49285606205883,2.28892068874579,3.51414361147943,1.55373861229208,1.94709471046579,1.88820617534628,1.63288935038599,0.886602193000124
"CHN",2010,1.97232890178635,1.33716915075738,1.67732646441484,2.47827419305585,3.43534309154985,2.17872450698684,2.76349388650741,1.80540557833902,1.43419685248405,0.916019675582489
"CHN",2017,1.85800847857293,1.36375124042194,1.55133167588132,2.40557276095914,2.75590625947808,2.27978511271087,2.36853292404814,1.64982864414358,1.54025626905902,0.925433051851321
"COL",1995,0,0,0,0,0,0,0,0,0,0
"COL",2005,1.64132762312635,1.86581013561737,1.09207708779442,2.17309064953604,9.67630264097086,3.72912205567456,1.9785867237688,1.11063526052819,1.98643825838684,-0.539614561027838
"COL",2010,1.52363896848142,1.95773638968489,1.19340974212038,2.13395415472782,9.62893982808035,3.40687679083093,1.91189111747856,1.21919770773643,2.02148997134676,-0.65329512893983
"COL",2017,1.54236157438295,1.95463642428291,1.17344896597735,2.06137424949968,9.3148765843896,4.06604402935285,2.35890593729153,1.26150767178121,1.95330220146768,-0.494329553035353
"CYP",2005,1.7869338152346,1.90079202205375,1.31125983201848,2.06269477090908,8.659673504393,3.88545839985485,3.86916538451809,1.59370803602125,1.72390201818422,0.0138120568650959
"CYP",2010,1.96144869054238,1.92301803997041,1.46133919886535,2.11914738960637,8.64732706550639,3.82536793163113,3.57563988906172,1.61242707456053,1.64487001673905,0.0831547948804517
"CYP",2017,1.98205128205129,1.95897435897437,1.72820512820514,2.27948717948719,8.43589743589747,4.13076923076926,2.86923076923079,1.43333333333334,1.74871794871796,-0.292307692307696
"CZE",1990,0,0,0,0,0,0,0,0,0,0
"CZE",1995,2.09916367980887,1.715651135006,1.64157706093192,1.93667861409799,3.89247311827959,6.75985663082433,6.28315412186378,1.76105137395462,1.79569892473121,0.381123058542413
"CZE",2017,2.02518593294442,1.63378032914377,1.7701461673381,2.06734821149553,4.19410242682731,6.67004210240434,6.18470959547241,2.00566680790354,1.75800716330445,0.479435651232626
"DEU",1995,2.03331112591608,1.67288474350437,2.19187208527646,1.43371085942707,4.37041972018645,6.52498334443699,5.50966022651561,2.3750832778148,2.19720186542307,0.686209193870755
"DEU",2005,1.95839540162501,1.62612107019829,1.6559903590342,1.65726520667829,4.37020232347024,6.4464495159023,5.23920485826644,2.10928998246402,1.96558991883268,1.22515338038963
"DEU",2010,1.93029483127396,1.54335179158206,1.5494742567622,1.76096911061825,5.13043286353338,6.03311299217981,4.57954536290125,1.97032691170855,2.05341823656414,1.15176031868658
"DEU",2017,1.85055508112725,1.53800170794194,1.68573868488475,1.3543979504697,4.69342442356962,7.92058070025624,5.56105892399661,1.92997438087106,2.33646456020497,0.852263023057211
"DOM",1995,1.94736842105263,1.74342105263158,1.48355263157895,2.14802631578947,9.40789473684209,3.18750000000001,2.85855263157896,1.34868421052632,1.95394736842105,-0.470394736842105
"DZA",1999,2.01472134595162,1.88222923238695,1.40694006309147,2.40378548895898,9.80336487907461,1.23028391167192,1.74132492113564,1.3154574132492,1.74237644584647,-0.852786540483697
