"state","year","state_fips","ranney1_sen_dem_prop","ranney2_hs_dem_prop","dempid_est","reppid_est","dempid_se","reppid_se","policysociallib_est","policyeconlib_est","masssociallib_est","masseconlib_est","policysociallib_se","policyeconlib_se","masssociallib_se","masseconlib_se","dem_prez_vote","rep_prez_vote"
"Alabama",1946,1,1,0.990566,0.577986925629483,0.246649166708109,0.0233856474673426,0.0207686099443815,0.623000306582267,-0.607996170558469,-0.57586719119625,-0.0359164362051822,0.50627779847035,0.304181325163305,0.150720383687571,0.0847648161569183,NA,NA
"Alabama",1947,1,1,0.990566,0.579871673788276,0.245361621554241,0.0215804914277614,0.018972138684138,0.61105435526316,-0.728218801441386,-0.3867577302151,0.0258640933525328,0.524925922179731,0.301940896518779,0.14602924436794,0.092520522130231,NA,NA
"Alabama",1948,1,1,0.990566,0.582186771967557,0.243254829308877,0.0199370636595898,0.017400220839507,0.574122429591199,-0.702107551533551,-0.437302684909512,0.0521895012945711,0.486656658816295,0.310678005206395,0.123542700491674,0.0916998810342198,NA,NA
"Alabama",1949,1,1,0.990566,0.587156841129416,0.240556523148813,0.0187308957614959,0.0161970616212227,0.554596729096618,-0.877215970632154,-0.353490686338586,0.0758707304171738,0.491115278109392,0.304197838439094,0.13932604896302,0.0870248399114114,NA,NA
"Alabama",1950,1,1,0.990566,0.591759049948834,0.236371923069008,0.0178907422588078,0.0157587191907019,0.523700849702133,-0.978477863330936,-0.214016912424318,0.0718724907126006,0.509709741421744,0.302136198804901,0.161298415509236,0.115203524753623,NA,NA
"Alabama",1951,1,1,0.990566,0.595115424645521,0.232857287678475,0.0176848287610425,0.0153367683477207,0.472597524476879,-0.783288236056708,-0.334959785839398,0.191165619252699,0.505284282143179,0.304298684356243,0.198274906669727,0.116214253938833,NA,NA
"Alabama",1952,1,1,0.990566,0.598873213217681,0.228450722994514,0.016202328268919,0.0139697082530137,0.45698621656973,-0.723012700903111,-0.341226661372763,0.081482093245512,0.535111790678521,0.313158889601751,0.148469797730151,0.0946729326071704,NA,NA
"Alabama",1953,1,1,0.990566,0.598347909240012,0.227037876732639,0.0145127959826032,0.0130754130240342,0.45343414646736,-0.927433667682116,-0.445116378830816,0.129602288471679,0.4994287033916,0.315304925705844,0.145230048757874,0.102713234990781,NA,NA
"Alabama",1954,1,1,1,0.604553857366773,0.22286399862725,0.0126983138675097,0.0115226707588274,0.391121899723205,-0.8426021893047,-0.662088816394901,0.262740422924405,0.520516352922598,0.302504497339587,0.115503887976697,0.0724652225119337,NA,NA
"Alabama",1955,1,1,1,0.608444712177052,0.220313697728866,0.0115817552518477,0.0097837285170792,0.355202975162534,-0.794903763660398,-0.496397131981541,0.199663661571132,0.491764223102513,0.308171202155426,0.116499740607325,0.0684174107679873,NA,NA
"Alabama",1956,1,1,1,0.610964892412599,0.212667063091054,0.0113390241671633,0.0094206428424712,0.321101633652977,-1.25402946289402,-0.704342009630269,0.314962967497489,0.533169382398908,0.322450408714504,0.110990634399899,0.125304984437014,56.5,39.4
"Alabama",1957,1,1,1,0.603367761734542,0.208486926637165,0.0118549566823398,0.0098663078994487,0.348462144018119,-1.03028655888285,-0.575829151376045,0.189553017478287,0.506383916334812,0.316969688728344,0.135161606179878,0.0991044769893347,NA,NA
"Alabama",1958,1,1,1,0.599529702566071,0.201981664659995,0.0128727765680716,0.010253006221585,0.297371437930117,-1.37316767441667,-0.73091563542942,0.189105079392691,0.511115344681011,0.326169714560616,0.112195011121046,0.119535617774658,NA,NA
"Alabama",1959,1,1,1,0.591842886274102,0.193369085459235,0.013374291389371,0.0100389872171593,0.262030683733069,-1.20523827770871,-0.688854049003708,0.0740642213313892,0.473708670661719,0.333675321184342,0.118214241209926,0.124345207996368,NA,NA
"Alabama",1960,1,1,1,0.580265247957138,0.188887642877874,0.0131541686071513,0.0102545577046607,0.220698090122342,-1.15570864503351,-0.768195427040359,0.264523452634389,0.511691125245164,0.326726887060087,0.131061629337234,0.111101596762471,56.4,42.2
"Alabama",1961,1,1,1,0.568037540494406,0.186037409305129,0.0133632106647618,0.0103165184124087,0.0370625686602309,-1.11890266228903,-0.772694511542509,0.329302263628123,0.468513523568468,0.320938959248136,0.113032032924018,0.0955205352488772,56.4,42.2
"Alabama",1962,1,1,0.9811321,0.55692207598197,0.184806069905609,0.0130446455198847,0.0100492900330414,-0.0016713333239188,-1.04558759863642,-0.883962289246099,0.190625602202137,0.47322598777227,0.311545782892691,0.198580314249841,0.101795250381185,56.4,42.2
"Alabama",1963,1,1,0.9811321,0.5446379236816,0.183834095925466,0.0130940807526981,0.009936317763229,-0.0527947599659433,-1.12535434442171,-0.41481703312117,0.343467868064202,0.476288973764664,0.321124754116255,0.149911647790412,0.135666128281986,56.4,42.2
"Alabama",1964,1,1,0.9811321,0.533630707247269,0.180678983201436,0.0132093887366385,0.0096434456238266,-0.118758578300563,-0.85436004381223,-0.840348117223616,0.338594686621624,0.49634708121098,0.329438675604037,0.156122752107091,0.0956368170643281,30.55,69.45
"Alabama",1965,1,1,0.9811321,0.519231337830211,0.177235392431071,0.0131510180669167,0.0093570069779575,-0.209150076647308,-0.998331789411592,-0.641837037527838,0.120682910792308,0.462468823202835,0.339287035020821,0.140728398285562,0.121304879771957,30.55,69.45
"Alabama",1966,1,0.9714286,1,0.509280236837632,0.171573629831143,0.0121468443337208,0.0088784614297037,-0.0897041723033653,-1.17654579771518,-0.826628630308155,0.115761142609942,0.467048365577238,0.362249912731762,0.1286949157856,0.12757400249093,30.55,69.45
"Alabama",1967,1,0.9714286,1,0.504546280316573,0.161113775992636,0.0116848689098215,0.0084470081464521,-0.142142076188251,-1.25838731215944,-0.645223390586192,0.0349180291607648,0.465921651534912,0.379549398319816,0.142488259221453,0.131591505247427,30.55,69.45
"Alabama",1968,1,0.9714286,1,0.497871092964447,0.151524090763375,0.0107082475542526,0.0076405601661668,-0.16555652392829,-1.10413027301002,-0.541708199005937,0.117868169930909,0.46541049176409,0.36549759238145,0.0901502431359079,0.087819079576448,18.7,14
"Alabama",1969,1,0.9714286,1,0.492381493575133,0.14968888871401,0.0115635523441446,0.0083603492062589,-0.258248140595532,-1.32625672637305,-0.560435533785701,0.288305546286276,0.471813300129768,0.382965446740663,0.151470719317545,0.134731395138854,18.7,14
"Alabama",1970,1,1,0.9809524,0.49170659385514,0.150775983108486,0.0122218472031974,0.0085130876040857,-0.379313953913682,-1.34617112399322,-0.42360762011326,0.230593903489935,0.454447530891916,0.383590137341491,0.163612050553684,0.155196406850489,18.7,14
"Alabama",1971,1,1,0.9809524,0.496423089352796,0.151801065388156,0.0119813716511566,0.0085515681079661,-0.546280064161251,-1.42893214090748,-0.465786878642531,0.197257576738911,0.437449269357838,0.41274030195902,0.152626060339188,0.139853565526791,18.7,14
"Alabama",1972,1,1,0.9809524,0.503062249796356,0.15047186999207,0.012610462196301,0.0083803429495155,-0.704732370458544,-1.10726177412942,-0.381199175859741,0.202404038515539,0.403480896899114,0.362802933140153,0.132216760649065,0.134493619024567,25.5,72.4
"Alabama",1973,1,1,0.9809524,0.510872336524542,0.147430535581464,0.0127440304663141,0.0085678983511355,-0.540809209154097,-1.43980074910381,-0.390616398074275,0.138567023056413,0.413708685555384,0.403816386048502,0.161653875415312,0.140893526734949,25.5,72.4
"Alabama",1974,1,1,1,0.519907741225119,0.14413514634277,0.0122289608303803,0.0084722535468347,-0.750609154687438,-1.34395385057392,-0.358575110215833,0.133372443997527,0.43699124182029,0.382904190117541,0.130952062861547,0.134873766598771,25.5,72.4
"Alabama",1975,1,1,1,0.527519996019859,0.141872079834893,0.0117477152589677,0.0082218293272544,-0.758241754212875,-1.49355991306266,-0.354750354551585,-0.0300287636437014,0.434145918325068,0.422195032432123,0.139302134182671,0.144355705192239,25.5,72.4
